t,F,D,P1,P2,T
492.115,0.11776,0.0,100.0,120.0,29.86
492.223,0.12031,0.001,100.0,120.0,29.86
492.323,0.11689,0.002,100.0,120.0,29.88
492.423,0.11884,0.004,100.0,120.0,29.88
492.523,0.11508,0.005,100.0,120.0,29.88
492.623,0.11603,0.007,100.0,120.0,29.86
492.723,0.11886,0.009,100.0,120.0,29.86
492.823,0.11434,0.011,100.0,120.0,29.86
492.923,0.11358,0.013,100.0,120.0,29.88
493.023,0.11498,0.014,100.0,120.0,29.88
493.123,0.12401,0.016,100.0,120.0,29.88
493.223,0.12058,0.018,100.0,120.0,29.9
493.323,0.11378,0.02,100.0,120.0,29.9
493.423,0.11938,0.021,100.0,120.0,29.9
493.523,0.12026,0.023,100.0,120.0,29.84
493.623,0.118,0.025,100.0,120.0,29.84
493.723,0.10986,0.027,100.0,120.0,29.84
493.823,0.11473,0.028,100.0,120.0,29.79
493.923,0.12182,0.03,100.0,120.0,29.79
494.023,0.12,0.032,100.0,120.0,29.79
494.123,0.11608,0.034,100.0,120.0,29.74
494.223,0.11515,0.036,100.0,120.0,29.74
494.323,0.12134,0.037,100.0,120.0,29.74
494.423,0.1183,0.039,100.0,120.0,29.75
494.522,0.1212,0.041,100.0,120.0,29.75
494.623,0.11775,0.043,100.0,120.0,29.75
494.723,0.11621,0.044,100.0,120.0,29.71
494.823,0.11584,0.046,100.0,120.0,29.71
494.923,0.11614,0.048,100.0,120.0,29.71
495.023,0.11484,0.05,100.0,120.0,29.75
495.123,0.11956,0.052,100.0,120.0,29.75
495.223,0.11965,0.053,100.0,120.0,29.75
495.323,0.11985,0.055,100.0,120.0,29.75
495.423,0.12402,0.057,100.0,120.0,29.75
495.523,0.1196,0.059,100.0,120.0,29.75
495.623,0.11548,0.06,100.0,120.0,29.79
495.723,0.11548,0.062,100.0,120.0,29.79
495.823,0.11947,0.064,100.0,120.0,29.79
495.923,0.11938,0.066,100.0,120.0,29.78
496.023,0.12311,0.068,100.0,120.0,29.78
496.123,0.12583,0.069,100.0,120.0,29.78
496.223,0.12136,0.071,100.0,120.0,29.78
496.323,0.12113,0.073,100.0,120.0,29.78
496.423,0.11969,0.075,100.0,120.0,29.78
496.523,0.12155,0.076,100.0,120.0,29.77
496.623,0.12234,0.078,100.0,120.0,29.77
496.724,0.12365,0.08,100.0,120.0,29.77
496.823,0.12123,0.082,100.0,120.0,29.85
496.923,0.1269,0.084,100.0,120.0,29.85
497.023,0.12798,0.085,100.0,120.0,29.85
497.123,0.12236,0.087,100.0,120.0,29.94
497.223,0.13021,0.089,100.0,120.0,29.94
497.323,0.1289,0.091,100.0,120.0,29.94
497.423,0.12834,0.092,100.0,120.0,29.99
497.523,0.12173,0.094,100.0,120.0,29.99
497.623,0.12598,0.096,100.0,120.0,29.99
497.722,0.12303,0.098,100.0,120.0,29.99
497.823,0.13126,0.1,100.0,120.0,29.99
497.923,0.13766,0.101,100.0,120.0,29.99
498.023,0.13664,0.103,100.0,120.0,30.03
498.123,0.13057,0.105,100.0,120.0,30.03
498.223,0.13038,0.107,100.0,120.0,30.03
498.324,0.11791,0.108,100.0,120.0,30.03
498.423,0.118,0.11,100.0,120.0,30.03
498.523,0.12354,0.112,100.0,120.0,30.03
498.623,0.12213,0.114,100.0,120.0,29.98
498.723,0.12169,0.116,100.0,120.0,29.98
498.823,0.12102,0.117,100.0,120.0,29.98
498.923,0.1246,0.119,100.0,120.0,30.02
499.023,0.12385,0.121,100.0,120.0,30.02
499.123,0.12412,0.123,100.0,120.0,30.02
499.223,0.12083,0.125,100.0,120.0,30.02
499.323,0.12474,0.126,100.0,120.0,30.02
499.423,0.12352,0.128,100.0,120.0,30.02
499.524,0.1283,0.13,100.0,120.0,29.98
499.623,0.13319,0.132,100.0,120.0,29.98
499.723,0.13044,0.133,100.0,120.0,29.98
499.823,0.13368,0.135,100.0,120.0,30.02
499.923,0.12502,0.137,100.0,120.0,30.02
500.023,0.12787,0.139,100.0,120.0,30.02
500.123,0.13204,0.141,100.0,120.0,30.02
500.223,0.12822,0.142,100.0,120.0,30.02
500.323,0.12957,0.144,100.0,120.0,30.02
500.423,0.13478,0.146,100.0,120.0,30.01
500.523,0.12911,0.148,100.0,120.0,30.01
500.623,0.12873,0.149,100.0,120.0,30.01
500.723,0.13057,0.151,100.0,120.0,30.01
500.823,0.12884,0.153,100.0,120.0,30.01
500.922,0.12615,0.155,100.0,120.0,30.01
501.023,0.13334,0.157,100.0,120.0,29.97
501.123,0.12704,0.158,100.0,120.0,29.97
501.223,0.13005,0.16,100.0,120.0,29.97
501.323,0.12299,0.162,100.0,120.0,29.98
501.423,0.126,0.164,100.0,120.0,29.98
501.523,0.12077,0.166,100.0,120.0,29.98
501.623,0.12187,0.167,100.0,120.0,30.02
501.723,0.12758,0.169,100.0,120.0,30.02
501.823,0.12432,0.171,100.0,120.0,30.02
501.923,0.12548,0.173,100.0,120.0,30.05
502.023,0.13444,0.174,100.0,120.0,30.05
502.123,0.13586,0.176,100.0,120.0,30.05
502.223,0.13341,0.178,100.0,120.0,30.04
502.323,0.12859,0.18,100.0,120.0,30.04
502.423,0.13171,0.182,100.0,120.0,30.04
502.523,0.13248,0.183,100.0,120.0,30.0
502.623,0.13759,0.185,100.0,120.0,30.0
502.723,0.13035,0.187,100.0,120.0,30.0
502.823,0.1275,0.189,100.0,120.0,30.04
502.923,0.13453,0.19,100.0,120.0,30.04
503.023,0.13658,0.192,100.0,120.0,30.04
503.123,0.13152,0.194,100.0,120.0,30.03
503.223,0.13425,0.196,100.0,120.0,30.03
503.323,0.13952,0.198,100.0,120.0,30.03
503.423,0.13955,0.199,100.0,120.0,30.07
503.523,0.13974,0.201,100.0,120.0,30.07
503.623,0.14139,0.203,100.0,120.0,30.07
503.723,0.13905,0.205,100.0,120.0,30.09
503.823,0.13473,0.206,100.0,120.0,30.09
503.923,0.12991,0.208,100.0,120.0,30.09
504.023,0.12798,0.21,100.0,120.0,30.12
504.122,0.13204,0.212,100.0,120.0,30.12
504.223,0.12886,0.214,100.0,120.0,30.12
504.323,0.1353,0.215,100.0,120.0,30.02
504.423,0.13872,0.217,100.0,120.0,30.02
504.523,0.14127,0.219,100.0,120.0,30.02
504.623,0.13684,0.221,100.0,120.0,29.98
504.723,0.13321,0.222,100.0,120.0,29.98
504.823,0.13456,0.224,100.0,120.0,29.98
504.923,0.14304,0.226,100.0,120.0,30.02
505.023,0.13931,0.228,100.0,120.0,30.02
505.123,0.13208,0.23,100.0,120.0,30.02
505.223,0.13824,0.231,100.0,120.0,30.09
505.323,0.13604,0.233,100.0,120.0,30.09
505.423,0.13582,0.235,100.0,120.0,30.09
505.523,0.14006,0.237,100.0,120.0,30.04
505.623,0.14143,0.238,100.0,120.0,30.04
505.723,0.13227,0.24,100.0,120.0,30.04
505.823,0.13909,0.242,100.0,120.0,30.0
505.923,0.14408,0.244,100.0,120.0,30.0
506.023,0.1355,0.246,100.0,120.0,30.0
506.123,0.13206,0.247,100.0,120.0,30.0
