t,F,D,P1,P2,T
154.211,-0.00533,0.0,99.0,0.0,29.87
154.311,0.00051,0.0,100.0,0.0,29.82
154.411,-0.00124,0.002,100.0,0.0,29.82
154.511,-0.00136,0.004,100.0,0.0,29.82
154.611,-0.00216,0.006,100.0,0.0,29.81
154.711,0.00331,0.008,100.0,0.0,29.81
154.81,0.0031,0.01,99.0,0.0,29.81
154.911,0.00829,0.011,100.0,0.0,29.8
155.011,0.00905,0.013,99.0,0.0,29.8
155.111,0.00886,0.015,100.0,0.0,29.8
155.211,0.00497,0.017,99.0,0.0,29.87
155.311,0.00428,0.019,100.0,0.0,29.87
155.411,0.00439,0.021,100.0,0.0,29.87
155.511,0.00534,0.022,99.0,0.0,29.89
155.611,0.00619,0.024,99.0,0.0,29.89
155.711,-0.00193,0.026,100.0,0.0,29.89
155.811,0.00246,0.028,99.0,0.0,29.94
155.911,0.00967,0.03,100.0,0.0,29.94
156.011,0.0068,0.031,100.0,0.0,29.94
156.111,0.00594,0.033,100.0,0.0,29.99
156.211,0.00629,0.035,100.0,0.0,29.99
156.311,-0.00101,0.037,100.0,0.0,29.99
156.411,0.00512,0.039,99.0,0.0,30.03
156.511,0.00737,0.041,100.0,0.0,30.03
156.611,0.00346,0.042,100.0,0.0,30.03
156.711,0.00324,0.044,100.0,0.0,30.02
156.811,0.00846,0.046,100.0,0.0,30.02
156.911,0.00958,0.048,100.0,0.0,30.02
157.011,0.00757,0.05,100.0,0.0,30.02
157.111,0.00855,0.051,99.0,0.0,30.02
157.211,0.00555,0.053,100.0,0.0,30.02
157.311,0.00354,0.055,100.0,0.0,30.09
157.411,0.00218,0.057,100.0,0.0,30.09
157.511,0.00709,0.059,100.0,0.0,30.09
157.611,-5e-05,0.061,100.0,0.0,30.04
157.711,-0.00202,0.062,100.0,0.0,30.04
157.811,-0.00236,0.064,99.0,0.0,30.04
157.911,0.00471,0.066,100.0,0.0,30.03
158.01,0.00677,0.068,100.0,0.0,30.03
158.111,0.00649,0.07,99.0,0.0,30.03
158.211,0.00282,0.071,100.0,0.0,30.03
158.311,0.00221,0.073,100.0,0.0,30.03
158.411,0.00168,0.075,100.0,0.0,30.03
158.511,-0.0003,0.077,100.0,0.0,30.02
158.611,0.007,0.079,100.0,0.0,30.02
158.711,0.00559,0.08,100.0,0.0,30.02
158.811,0.00366,0.082,99.0,0.0,30.02
158.911,0.0048,0.084,100.0,0.0,30.02
159.011,-3e-05,0.086,100.0,0.0,30.02
159.111,-0.00134,0.088,100.0,0.0,30.02
159.211,0.00465,0.09,100.0,0.0,30.02
159.311,0.00465,0.091,99.0,0.0,30.02
159.411,0.00328,0.093,100.0,0.0,29.98
159.511,0.00548,0.095,99.0,0.0,29.98
159.611,0.00569,0.097,99.0,0.0,29.98
159.711,0.00625,0.099,100.0,0.0,29.98
159.811,0.0012,0.1,100.0,0.0,29.98
159.911,0.00362,0.102,99.0,0.0,29.98
160.011,0.00191,0.104,99.0,0.0,30.06
160.111,-0.00083,0.106,100.0,0.0,30.06
160.211,0.00121,0.108,100.0,0.0,30.06
160.311,0.00544,0.11,100.0,0.0,30.05
160.411,0.00964,0.111,100.0,0.0,30.05
160.511,0.00894,0.113,99.0,0.0,30.05
160.611,0.00455,0.115,99.0,0.0,30.08
160.711,0.00251,0.117,100.0,0.0,30.08
160.811,0.00408,0.119,100.0,0.0,30.08
160.911,0.00261,0.121,100.0,0.0,30.07
161.011,0.005,0.122,100.0,0.0,30.07
161.111,0.01011,0.124,100.0,0.0,30.07
161.21,0.00897,0.126,99.0,0.0,30.06
161.311,0.006,0.128,100.0,0.0,30.06
161.411,0.00168,0.13,100.0,0.0,30.06
161.511,0.00321,0.131,100.0,0.0,30.01
161.611,0.00377,0.133,99.0,0.0,30.01
161.711,0.00165,0.135,100.0,0.0,30.01
161.811,0.00725,0.137,99.0,0.0,29.97
161.911,0.00725,0.139,99.0,0.0,29.97
162.011,0.00735,0.141,100.0,0.0,29.97
162.111,-0.00111,0.142,100.0,0.0,30.05
162.211,0.00312,0.144,99.0,0.0,30.05
162.312,0.00269,0.146,99.0,0.0,30.05
162.411,0.00713,0.148,100.0,0.0,29.97
162.511,0.00546,0.15,100.0,0.0,29.97
162.611,0.00078,0.152,99.0,0.0,29.97
162.711,0.00376,0.153,99.0,0.0,29.97
162.811,0.00363,0.155,99.0,0.0,29.97
162.911,0.0041,0.157,100.0,0.0,29.97
163.011,0.00607,0.159,100.0,0.0,29.98
163.111,0.00767,0.161,100.0,0.0,29.98
163.211,0.00696,0.163,99.0,0.0,29.98
163.311,0.00976,0.164,99.0,0.0,30.02
163.411,0.00989,0.166,99.0,0.0,30.02
163.511,0.01372,0.168,100.0,0.0,30.02
163.611,0.006,0.17,100.0,0.0,29.98
163.711,0.00362,0.172,99.0,0.0,29.98
163.811,0.00294,0.174,100.0,0.0,29.98
163.911,0.00417,0.175,100.0,0.0,29.98
164.011,-0.00232,0.177,100.0,0.0,29.98
164.111,0.00251,0.179,100.0,0.0,29.98
164.211,0.00531,0.181,100.0,0.0,30.02
164.311,0.00506,0.183,100.0,0.0,30.02
164.41,0.00372,0.184,99.0,0.0,30.02
164.511,-0.0014,0.186,100.0,0.0,30.02
164.611,-0.00042,0.188,99.0,0.0,30.02
164.711,0.00276,0.19,100.0,0.0,30.02
164.811,0.00339,0.192,100.0,0.0,30.02
164.912,0.00315,0.194,99.0,0.0,30.02
165.011,0.00607,0.195,100.0,0.0,30.02
165.111,0.00488,0.197,100.0,0.0,30.01
165.211,0.00684,0.199,100.0,0.0,30.01
165.311,0.0066,0.201,100.0,0.0,30.01
165.411,0.00409,0.203,100.0,0.0,30.01
165.511,0.00017,0.205,100.0,0.0,30.01
165.611,0.00188,0.206,100.0,0.0,30.01
165.711,0.00302,0.208,99.0,0.0,30.01
165.811,0.00246,0.21,100.0,0.0,30.01
165.911,0.00416,0.212,100.0,0.0,30.01
166.011,0.00687,0.214,100.0,0.0,29.93
166.111,0.00513,0.215,99.0,0.0,29.93
166.211,0.00393,0.217,100.0,0.0,29.93
166.311,0.00281,0.219,100.0,0.0,29.98
166.411,0.00046,0.221,100.0,0.0,29.98
166.511,0.01009,0.223,100.0,0.0,29.98
166.611,0.01046,0.225,100.0,0.0,29.95
166.711,0.00248,0.226,100.0,0.0,29.95
166.811,0.00308,0.228,99.0,0.0,29.95
166.911,0.00541,0.23,99.0,0.0,29.99
167.011,0.00323,0.232,100.0,0.0,29.99
167.111,0.00675,0.234,100.0,0.0,29.99
167.211,0.00113,0.235,100.0,0.0,29.96
167.311,0.00863,0.237,100.0,0.0,29.96
167.411,0.0086,0.239,100.0,0.0,29.96
167.511,0.00714,0.241,99.0,0.0,30.04
167.61,0.00186,0.243,99.0,0.0,30.04
