t,F,D,P1,P2,T
136.342,-0.0198,-0.009,100.0,0.0,0.0
136.49,-0.0198,-0.009,100.0,0.0,0.0
136.639,-0.0198,-0.009,100.0,0.0,0.0
136.786,-0.0198,-0.006,100.0,0.0,0.0
136.934,-0.0198,0.0,100.0,0.0,0.0
137.081,-0.0198,0.003,100.0,0.0,0.0
137.228,-0.0198,0.003,100.0,0.0,0.0
137.374,-0.01619,0.006,100.0,0.0,0.0
137.522,-0.01619,0.012,100.0,0.0,0.0
137.669,-0.01619,0.012,100.0,0.0,0.0
137.815,-0.01811,0.016,100.0,0.0,0.0
137.963,-0.01811,0.019,100.0,0.0,0.0
138.109,-0.01811,0.022,100.0,0.0,0.0
138.257,-0.01887,0.022,100.0,0.0,0.0
138.403,-0.01887,0.028,100.0,0.0,0.0
138.551,-0.01887,0.031,100.0,0.0,0.0
138.697,-0.01352,0.034,100.0,0.0,0.0
138.851,-0.01352,0.034,100.0,0.0,0.0
138.997,-0.01352,0.041,100.0,0.0,0.0
139.145,-0.02366,0.044,100.0,0.0,0.0
139.292,-0.02366,0.044,100.0,0.0,0.0
139.438,-0.02366,0.047,100.0,0.0,0.0
139.585,-0.02366,0.05,100.0,0.0,0.0
139.732,-0.02366,0.056,100.0,0.0,0.0
139.879,-0.0145,0.056,100.0,0.0,0.0
140.026,-0.0145,0.059,100.0,0.0,0.0
140.173,-0.0145,0.063,100.0,0.0,0.0
140.32,-0.0145,0.063,100.0,0.0,0.0
140.467,-0.0145,0.069,100.0,0.0,1.95
140.614,-0.0145,0.072,100.0,0.0,1.95
140.76,-0.0145,0.075,100.0,0.0,1.66
140.908,-0.0145,0.075,100.0,0.0,1.66
141.054,-0.0145,0.078,100.0,0.0,2.57
141.201,-0.0145,0.084,100.0,0.0,2.57
141.348,-0.0145,0.084,100.0,0.0,3.27
141.495,-0.0145,0.088,100.0,0.0,3.27
141.642,-0.00334,0.091,100.0,0.0,3.64
141.789,-0.00334,0.097,100.0,0.0,3.64
141.936,-0.00334,0.097,100.0,0.0,4.56
142.082,-0.01302,0.1,100.0,0.0,4.56
142.23,-0.01302,0.103,100.0,0.0,5.94
142.377,-0.01302,0.103,100.0,0.0,5.94
142.524,-0.01171,0.106,100.0,0.0,6.81
142.671,-0.01171,0.112,100.0,0.0,6.81
142.818,-0.01171,0.116,100.0,0.0,7.55
142.965,0.00434,0.116,100.0,0.0,7.55
143.111,0.00434,0.119,100.0,0.0,7.55
143.257,0.00434,0.125,100.0,0.0,8.29
143.402,0.04794,0.125,100.0,0.0,8.29
143.549,0.04794,0.128,100.0,0.0,9.11
143.694,0.04794,0.131,100.0,0.0,9.11
143.841,0.04794,0.134,100.0,0.0,9.13
143.986,0.04794,0.134,100.0,0.0,9.13
144.131,0.06838,0.141,100.0,0.0,8.93
144.282,0.06838,0.144,100.0,0.0,8.93
144.427,0.06838,0.144,100.0,0.0,8.79
144.573,0.06838,0.147,100.0,0.0,8.79
144.719,0.06838,0.153,100.0,0.0,8.93
144.865,0.06838,0.156,100.0,0.0,8.93
145.011,0.06838,0.156,100.0,0.0,9.28
145.156,0.06838,0.159,100.0,0.0,9.28
145.302,0.06838,0.162,100.0,0.0,9.16
