t,F,D,P1,P2,T
219.965,0.43347,-0.016,100.0,0.0,19.33
220.112,0.43347,-0.016,100.0,0.0,19.35
220.261,0.43347,-0.012,100.0,0.0,19.35
220.409,0.43347,-0.012,100.0,0.0,19.3
220.557,0.43347,-0.009,100.0,0.0,19.3
220.705,0.43347,-0.003,100.0,0.0,19.29
220.853,0.43347,0.0,100.0,0.0,19.29
221.0,0.43347,0.0,100.0,0.0,19.25
221.146,0.43347,0.003,100.0,0.0,19.25
221.293,0.43347,0.009,100.0,0.0,19.29
221.44,0.43347,0.009,100.0,0.0,19.29
221.587,0.43347,0.012,100.0,0.0,19.28
221.734,0.43347,0.016,100.0,0.0,19.28
221.881,0.43347,0.019,100.0,0.0,19.28
222.028,0.4288,0.019,100.0,0.0,19.28
222.175,0.4288,0.025,100.0,0.0,19.31
222.322,0.4288,0.028,100.0,0.0,19.31
222.469,0.4288,0.028,100.0,0.0,19.3
222.616,0.4288,0.031,100.0,0.0,19.3
222.762,0.4288,0.038,100.0,0.0,19.3
222.91,0.42807,0.041,100.0,0.0,19.29
223.057,0.42807,0.041,100.0,0.0,19.29
223.204,0.42807,0.044,100.0,0.0,19.29
223.35,0.42807,0.047,100.0,0.0,19.29
223.498,0.42807,0.047,100.0,0.0,19.24
223.644,0.42807,0.053,100.0,0.0,19.24
223.791,0.42807,0.056,100.0,0.0,19.24
223.938,0.42807,0.059,100.0,0.0,19.24
224.085,0.42807,0.059,100.0,0.0,19.21
224.232,0.42807,0.066,100.0,0.0,19.21
224.379,0.42807,0.069,100.0,0.0,19.18
224.526,0.42807,0.072,100.0,0.0,19.18
224.68,0.42807,0.072,100.0,0.0,19.15
224.827,0.42807,0.075,100.0,0.0,19.15
224.973,0.42807,0.081,100.0,0.0,19.2
225.121,0.42807,0.081,100.0,0.0,19.2
225.267,0.42807,0.084,100.0,0.0,19.17
225.415,0.42836,0.088,100.0,0.0,19.17
225.561,0.42836,0.094,100.0,0.0,19.18
225.708,0.42836,0.094,100.0,0.0,19.18
225.855,0.42836,0.097,100.0,0.0,19.19
226.002,0.42836,0.1,100.0,0.0,19.19
226.149,0.42836,0.1,100.0,0.0,19.2
226.295,0.42802,0.103,100.0,0.0,19.2
226.443,0.42802,0.109,100.0,0.0,19.17
226.59,0.42802,0.112,100.0,0.0,19.17
226.738,0.42802,0.112,100.0,0.0,19.22
226.884,0.42802,0.116,100.0,0.0,19.22
227.03,0.42802,0.122,100.0,0.0,19.23
227.178,0.42802,0.122,100.0,0.0,19.23
227.324,0.42802,0.125,100.0,0.0,19.23
227.472,0.42834,0.128,100.0,0.0,19.23
227.618,0.42834,0.131,100.0,0.0,19.23
227.766,0.42834,0.131,100.0,0.0,19.23
227.912,0.42834,0.137,100.0,0.0,19.23
228.06,0.42834,0.141,100.0,0.0,19.23
228.206,0.42834,0.141,100.0,0.0,19.27
228.352,0.42834,0.144,100.0,0.0,19.27
228.5,0.42834,0.15,100.0,0.0,19.2
228.647,0.42834,0.153,100.0,0.0,19.2
228.794,0.42834,0.153,100.0,0.0,19.2
228.94,0.42834,0.156,100.0,0.0,19.24
229.088,0.42834,0.159,100.0,0.0,19.24
229.235,0.4288,0.166,100.0,0.0,19.28
229.392,0.4288,0.166,100.0,0.0,19.28
229.538,0.4288,0.169,100.0,0.0,19.24
229.686,0.4288,0.172,100.0,0.0,19.24
229.832,0.4288,0.172,100.0,0.0,19.24
229.978,0.4288,0.178,100.0,0.0,19.24
