t,F,D,P1,P2,T
145.515,-0.01048,0.363,100.0,0.0,0.0
145.661,-0.0228,0.363,100.0,0.0,0.0
145.809,-0.0228,0.359,100.0,0.0,0.0
145.956,-0.0228,0.356,100.0,0.0,0.0
146.103,-0.0228,0.356,100.0,0.0,0.0
146.25,-0.0228,0.353,100.0,0.0,0.0
146.397,-0.01548,0.347,100.0,0.0,0.0
146.552,-0.01548,0.347,100.0,0.0,0.0
146.699,-0.01548,0.344,100.0,0.0,0.0
146.846,-0.01548,0.341,100.0,0.0,0.0
146.993,-0.01548,0.334,100.0,0.0,0.0
147.14,-0.01548,0.334,100.0,0.0,0.0
147.286,-0.01548,0.331,100.0,0.0,0.0
147.434,-0.01548,0.328,100.0,0.0,0.0
147.58,-0.01548,0.328,100.0,0.0,0.0
147.727,-0.01548,0.325,100.0,0.0,0.0
147.874,-0.01548,0.319,100.0,0.0,0.0
148.021,-0.01548,0.316,100.0,0.0,0.0
148.168,-0.02042,0.316,100.0,0.0,0.0
148.314,-0.02042,0.312,100.0,0.0,0.0
148.462,-0.02042,0.306,100.0,0.0,0.0
148.608,-0.01342,0.303,100.0,0.0,0.0
148.766,-0.01342,0.303,100.0,0.0,0.0
148.913,-0.01342,0.3,100.0,0.0,0.0
149.059,-0.01342,0.297,100.0,0.0,0.0
149.206,-0.01342,0.297,100.0,0.0,0.0
149.353,-0.01342,0.291,100.0,0.0,0.0
149.499,-0.0137,0.287,100.0,0.0,0.0
149.647,-0.0137,0.284,100.0,0.0,0.0
149.794,-0.0137,0.284,100.0,0.0,0.0
149.941,-0.0137,0.278,100.0,0.0,0.0
150.087,-0.0137,0.275,100.0,0.0,0.0
150.234,-0.0137,0.275,100.0,0.0,0.0
150.381,-0.01142,0.272,100.0,0.0,0.0
150.528,-0.01142,0.269,100.0,0.0,0.0
150.675,-0.01142,0.262,100.0,0.0,0.0
150.822,-0.01142,0.262,100.0,0.0,0.0
150.969,-0.01142,0.259,100.0,0.0,0.0
151.116,-0.01352,0.256,100.0,0.0,0.0
151.263,-0.01352,0.256,100.0,0.0,0.0
151.41,-0.01352,0.25,100.0,0.0,0.0
151.556,-0.01616,0.247,100.0,0.0,0.0
151.704,-0.01616,0.244,100.0,0.0,0.0
151.85,-0.01616,0.244,100.0,0.0,0.0
151.998,-0.01616,0.241,100.0,0.0,0.0
152.144,-0.01616,0.234,100.0,0.0,0.0
152.292,-0.01616,0.234,100.0,0.0,0.0
152.438,-0.01488,0.231,100.0,0.0,0.0
152.586,-0.01488,0.228,100.0,0.0,0.0
152.732,-0.01488,0.222,100.0,0.0,0.0
152.879,-0.00997,0.222,100.0,0.0,0.0
153.026,-0.00997,0.219,100.0,0.0,0.0
153.173,-0.00997,0.216,100.0,0.0,0.0
153.32,-0.00997,0.213,100.0,0.0,0.0
153.476,-0.00997,0.213,100.0,0.0,0.0
153.623,-0.00997,0.206,100.0,0.0,0.0
153.769,-0.01275,0.203,100.0,0.0,0.0
153.917,-0.01275,0.203,100.0,0.0,0.0
154.063,-0.01275,0.2,100.0,0.0,0.0
154.211,-0.01275,0.194,100.0,0.0,0.0
154.357,-0.01275,0.191,100.0,0.0,0.0
154.505,-0.01417,0.191,100.0,0.0,0.0
154.66,-0.01417,0.187,100.0,0.0,0.0
154.807,-0.01417,0.184,100.0,0.0,0.0
154.954,-0.01417,0.184,100.0,0.0,0.0
155.101,-0.01417,0.178,100.0,0.0,0.0
155.247,-0.01417,0.175,100.0,0.0,0.0
155.394,-0.01417,0.172,100.0,0.0,0.0
155.541,-0.01417,0.172,100.0,0.0,0.0
155.688,-0.01417,0.166,100.0,0.0,0.0
155.835,-0.01417,0.162,100.0,0.0,0.0
155.982,-0.01417,0.159,100.0,0.0,0.0
156.139,-0.01417,0.159,100.0,0.0,0.0
156.285,-0.01417,0.156,100.0,0.0,0.0
156.432,-0.01417,0.15,100.0,0.0,0.0
156.579,-0.01417,0.15,100.0,0.0,0.0
156.726,-0.00582,0.147,100.0,0.0,0.0
156.873,-0.00582,0.144,100.0,0.0,0.0
157.02,-0.00582,0.137,100.0,0.0,0.0
157.167,-0.01207,0.137,100.0,0.0,0.0
157.313,-0.01207,0.134,100.0,0.0,0.0
157.461,-0.01207,0.131,100.0,0.0,0.0
157.607,-0.01207,0.131,100.0,0.0,0.0
157.755,-0.01207,0.128,100.0,0.0,0.0
157.901,-0.01207,0.122,100.0,0.0,0.0
158.049,-0.01563,0.119,100.0,0.0,0.0
158.195,-0.01563,0.119,100.0,0.0,0.0
158.343,-0.01563,0.116,100.0,0.0,0.0
158.489,-0.01563,0.109,100.0,0.0,0.0
158.636,-0.01563,0.109,100.0,0.0,0.0
158.783,-0.01382,0.106,100.0,0.0,0.0
158.93,-0.01382,0.103,100.0,0.0,0.0
159.077,-0.01382,0.1,100.0,0.0,0.0
159.224,-0.01382,0.1,100.0,0.0,0.0
159.371,-0.01382,0.094,100.0,0.0,0.0
159.517,-0.01382,0.091,100.0,0.0,0.0
159.665,-0.01382,0.091,100.0,0.0,0.0
159.811,-0.01382,0.088,100.0,0.0,0.0
159.957,-0.01382,0.081,100.0,0.0,0.0
160.105,-0.01382,0.078,100.0,0.0,0.0
160.251,-0.01382,0.078,100.0,0.0,0.0
160.399,-0.01382,0.075,100.0,0.0,0.0
160.545,-0.01382,0.072,100.0,0.0,0.0
160.693,-0.01382,0.072,100.0,0.0,0.0
160.839,-0.01382,0.066,100.0,0.0,0.0
160.985,-0.01704,0.063,100.0,0.0,0.0
161.133,-0.01704,0.059,100.0,0.0,0.0
161.28,-0.01704,0.059,100.0,0.0,0.0
161.427,-0.01907,0.053,100.0,0.0,0.0
161.574,-0.01907,0.05,100.0,0.0,0.0
161.721,-0.01907,0.047,100.0,0.0,0.0
161.874,-0.01907,0.047,100.0,0.0,0.0
162.021,-0.01907,0.044,100.0,0.0,0.0
162.167,-0.01907,0.038,100.0,0.0,0.0
162.315,-0.01799,0.038,100.0,0.0,0.0
162.461,-0.01799,0.034,100.0,0.0,0.0
162.609,-0.01799,0.031,100.0,0.0,0.0
162.755,-0.01799,0.025,100.0,0.0,0.0
162.902,-0.01799,0.025,100.0,0.0,0.0
163.049,-0.01799,0.022,100.0,0.0,0.0
163.196,-0.01799,0.019,100.0,0.0,0.0
163.343,-0.01799,0.019,100.0,0.0,0.0
163.489,-0.01799,0.016,100.0,0.0,0.0
163.637,-0.01799,0.009,100.0,0.0,0.0
163.783,-0.01799,0.006,100.0,0.0,0.0
163.93,-0.01799,0.006,100.0,0.0,0.0
164.077,-0.01799,0.003,100.0,0.0,0.0
164.223,-0.01799,-0.003,100.0,0.0,0.0
164.372,-0.01799,-0.003,100.0,0.0,0.0
164.519,-0.01799,-0.006,100.0,0.0,0.0
164.668,-0.01799,-0.009,100.0,0.0,0.0
164.815,-0.01852,-0.012,100.0,0.0,0.0
164.964,-0.01852,-0.012,100.0,0.0,0.0
165.111,-0.01852,-0.019,100.0,0.0,0.0
165.26,-0.01699,-0.022,100.0,0.0,0.0
165.408,-0.01699,-0.025,100.0,0.0,0.0
165.566,-0.01699,-0.025,100.0,0.0,0.0
165.713,-0.01699,-0.031,100.0,0.0,0.0
165.862,-0.01699,-0.034,100.0,0.0,0.0
166.009,-0.01699,-0.034,100.0,0.0,0.0
166.157,-0.0176,-0.038,100.0,0.0,0.0
166.305,-0.0176,-0.041,100.0,0.0,0.0
166.454,-0.0176,-0.047,100.0,0.0,0.0
166.601,-0.0176,-0.047,100.0,0.0,0.0
166.749,-0.0176,-0.05,100.0,0.0,0.0
166.897,-0.0176,-0.053,100.0,0.0,0.0
167.045,-0.0176,-0.053,100.0,0.0,0.0
167.193,-0.0176,-0.059,100.0,0.0,0.0
167.34,-0.0176,-0.063,100.0,0.0,0.0
167.489,-0.0176,-0.066,100.0,0.0,0.0
167.636,-0.0176,-0.066,100.0,0.0,0.0
167.784,-0.0176,-0.069,100.0,0.0,0.0
167.932,-0.0176,-0.075,100.0,0.0,0.0
168.081,-0.0176,-0.078,100.0,0.0,0.0
168.234,-0.0176,-0.078,100.0,0.0,0.0
168.382,-0.0176,-0.081,100.0,0.0,0.0
168.53,-0.0176,-0.088,100.0,0.0,0.0
168.679,-0.00777,-0.088,100.0,0.0,0.0
168.826,-0.00777,-0.091,100.0,0.0,0.0
