t,F,D,P1,P2,T
195.457,0.01739,0.016,100.0,0.0,0.0
195.606,0.01739,0.016,100.0,0.0,0.0
195.754,0.01739,0.016,100.0,0.0,0.0
195.902,0.01711,0.012,100.0,0.0,0.0
196.05,0.01711,0.006,100.0,0.0,0.0
196.198,0.01711,0.003,100.0,0.0,0.0
196.346,0.01711,0.003,100.0,0.0,0.0
196.494,0.01711,-0.0,100.0,0.0,0.0
196.641,0.01711,-0.006,100.0,0.0,0.0
196.788,0.01711,-0.006,100.0,0.0,0.0
196.934,0.01711,-0.009,100.0,0.0,0.0
197.081,0.01711,-0.012,100.0,0.0,0.0
197.228,0.01711,-0.016,100.0,0.0,0.0
197.375,0.01711,-0.016,100.0,0.0,0.0
197.522,0.02421,-0.022,100.0,0.0,0.0
197.669,0.02421,-0.025,100.0,0.0,0.0
197.816,0.02421,-0.025,100.0,0.0,0.0
197.962,0.02479,-0.028,100.0,0.0,0.0
198.11,0.02479,-0.034,100.0,0.0,0.0
198.257,0.02479,-0.038,100.0,0.0,0.0
198.403,0.02479,-0.038,100.0,0.0,0.0
198.55,0.02479,-0.041,100.0,0.0,0.0
198.697,0.02479,-0.044,100.0,0.0,0.0
198.844,0.02479,-0.044,100.0,0.0,0.0
198.99,0.02479,-0.05,100.0,0.0,0.0
199.138,0.02479,-0.053,100.0,0.0,0.0
199.285,0.02479,-0.056,100.0,0.0,0.0
199.432,0.02479,-0.056,100.0,0.0,0.0
199.578,0.02479,-0.063,100.0,0.0,0.0
199.725,0.02136,-0.066,100.0,0.0,0.0
199.873,0.02136,-0.069,100.0,0.0,0.0
200.028,0.02136,-0.069,100.0,0.0,0.0
200.174,0.02136,-0.072,100.0,0.0,0.0
200.32,0.02136,-0.078,100.0,0.0,0.0
200.468,0.02136,-0.078,100.0,0.0,0.0
200.614,0.02136,-0.081,100.0,0.0,0.0
200.761,0.02136,-0.084,100.0,0.0,0.0
200.908,0.02136,-0.091,100.0,0.0,0.0
201.055,0.02136,-0.091,100.0,0.0,0.0
201.202,0.02136,-0.094,100.0,0.0,0.0
201.348,0.02136,-0.097,100.0,0.0,0.0
201.496,0.0208,-0.097,100.0,0.0,0.0
201.642,0.0208,-0.1,100.0,0.0,0.0
201.79,0.01844,-0.106,100.0,0.0,0.0
201.936,0.01844,-0.109,100.0,0.0,0.0
202.084,0.01844,-0.109,100.0,0.0,0.0
202.23,0.01844,-0.112,100.0,0.0,0.0
202.378,0.01844,-0.119,100.0,0.0,0.0
202.524,0.01844,-0.119,100.0,0.0,0.0
202.67,0.01844,-0.122,100.0,0.0,0.0
202.818,0.01844,-0.125,100.0,0.0,0.0
202.964,0.01844,-0.128,100.0,0.0,0.0
203.112,0.01844,-0.128,100.0,0.0,0.0
203.258,0.01844,-0.134,100.0,0.0,0.0
203.405,0.01844,-0.137,100.0,0.0,0.0
203.552,0.00806,-0.137,100.0,0.0,0.0
203.699,0.00806,-0.141,100.0,0.0,0.0
203.846,0.00806,-0.147,100.0,0.0,0.0
203.992,0.00806,-0.15,100.0,0.0,0.0
204.14,0.00806,-0.15,100.0,0.0,0.0
204.286,0.00806,-0.153,100.0,0.0,0.0
204.434,0.00806,-0.156,100.0,0.0,0.0
204.58,0.00806,-0.156,100.0,0.0,0.0
204.727,0.00806,-0.162,100.0,0.0,0.0
204.874,0.00806,-0.166,100.0,0.0,0.0
205.021,0.00806,-0.169,100.0,0.0,0.0
205.168,0.00806,-0.169,100.0,0.0,0.0
205.314,-0.02655,-0.175,100.0,0.0,0.0
205.461,-0.02655,-0.178,100.0,0.0,0.0
205.606,-0.02655,-0.181,100.0,0.0,0.0
205.761,-0.08468,-0.181,100.0,0.0,0.0
205.907,-0.08468,-0.184,100.0,0.0,0.0
206.053,-0.08468,-0.191,100.0,0.0,0.0
206.199,-0.08468,-0.191,100.0,0.0,0.0
206.345,-0.08468,-0.194,100.0,0.0,0.0
206.49,-0.08468,-0.197,100.0,0.0,0.0
206.636,-0.08468,-0.203,100.0,0.0,0.0
206.786,-0.08468,-0.203,100.0,0.0,0.98
206.931,-0.08468,-0.206,100.0,0.0,0.98
207.077,-0.08468,-0.209,100.0,0.0,0.83
207.223,-0.08468,-0.209,100.0,0.0,0.83
207.369,-0.11197,-0.213,100.0,0.0,0.7
207.515,-0.11197,-0.219,100.0,0.0,0.7
207.66,-0.11197,-0.222,100.0,0.0,0.6
207.81,-0.11197,-0.222,100.0,0.0,0.6
207.955,-0.11197,-0.225,100.0,0.0,0.51
208.101,-0.11197,-0.231,100.0,0.0,0.51
208.247,-0.11197,-0.231,100.0,0.0,0.43
208.393,-0.11197,-0.234,100.0,0.0,0.43
208.539,-0.11197,-0.237,100.0,0.0,0.37
208.684,-0.11197,-0.241,100.0,0.0,0.37
208.834,-0.11197,-0.241,100.0,0.0,0.31
208.979,-0.11197,-0.247,100.0,0.0,0.31
209.126,0.00658,-0.25,100.0,0.0,0.27
209.272,0.00658,-0.25,100.0,0.0,0.27
209.42,0.00658,-0.253,100.0,0.0,0.23
209.566,0.00652,-0.259,100.0,0.0,0.23
209.714,0.00652,-0.262,100.0,0.0,0.19
209.861,0.00652,-0.262,100.0,0.0,0.19
210.007,0.00652,-0.266,100.0,0.0,0.19
210.154,0.00652,-0.269,100.0,0.0,0.16
210.301,0.00652,-0.269,100.0,0.0,0.16
210.448,0.00652,-0.275,100.0,0.0,0.14
210.594,0.00652,-0.278,100.0,0.0,0.14
210.742,0.00652,-0.281,100.0,0.0,0.12
210.889,0.00652,-0.281,100.0,0.0,0.12
211.036,0.00652,-0.287,100.0,0.0,0.1
211.182,0.00241,-0.291,100.0,0.0,0.1
211.329,0.00241,-0.291,100.0,0.0,0.09
211.476,0.00241,-0.294,100.0,0.0,0.09
211.623,0.00241,-0.297,100.0,0.0,0.07
211.77,0.00241,-0.303,100.0,0.0,0.07
211.917,0.00241,-0.303,100.0,0.0,0.06
212.064,0.00241,-0.306,100.0,0.0,0.06
212.211,0.00241,-0.309,100.0,0.0,0.05
212.357,0.00241,-0.309,100.0,0.0,0.05
212.504,0.00241,-0.316,100.0,0.0,0.04
212.651,0.00241,-0.319,100.0,0.0,0.04
212.798,0.00241,-0.322,100.0,0.0,0.04
212.945,0.0494,-0.322,100.0,0.0,0.04
213.092,0.0494,-0.325,100.0,0.0,0.03
213.239,0.0494,-0.331,100.0,0.0,0.03
213.386,0.1214,-0.331,100.0,0.0,0.03
213.533,0.1214,-0.334,100.0,0.0,0.03
213.679,0.1214,-0.338,100.0,0.0,0.02
213.827,0.1214,-0.344,100.0,0.0,0.02
213.974,0.1214,-0.344,100.0,0.0,0.02
214.121,0.1214,-0.347,100.0,0.0,0.02
214.267,0.1214,-0.35,100.0,0.0,0.02
214.415,0.1214,-0.353,100.0,0.0,0.02
214.57,0.1214,-0.353,100.0,0.0,0.01
214.717,0.1214,-0.359,100.0,0.0,0.01
214.863,0.1214,-0.363,100.0,0.0,0.01
215.011,0.01837,-0.363,100.0,0.0,0.01
