t,F,D,P1,P2,T
151.995,0.00682,-0.012,100.0,0.0,18.05
152.143,0.00682,-0.009,100.0,0.0,18.05
152.292,0.00682,-0.009,100.0,0.0,18.08
152.439,0.00682,-0.006,100.0,0.0,18.08
152.588,5e-05,0.0,100.0,0.0,18.08
152.734,5e-05,0.003,100.0,0.0,18.11
152.891,5e-05,0.003,100.0,0.0,18.11
153.038,5e-05,0.006,100.0,0.0,18.05
153.185,5e-05,0.012,100.0,0.0,18.05
153.332,5e-05,0.012,100.0,0.0,18.04
153.479,5e-05,0.016,100.0,0.0,18.04
153.626,5e-05,0.019,100.0,0.0,18.0
153.772,5e-05,0.022,100.0,0.0,18.0
153.92,5e-05,0.022,100.0,0.0,18.04
154.066,5e-05,0.028,100.0,0.0,18.04
154.213,5e-05,0.031,100.0,0.0,17.99
154.36,-0.00195,0.031,100.0,0.0,17.99
154.509,-0.00195,0.034,100.0,0.0,18.03
154.656,0.00059,0.041,100.0,0.0,18.03
154.804,0.00059,0.044,100.0,0.0,18.1
154.951,0.00059,0.044,100.0,0.0,18.1
155.097,-0.00219,0.047,100.0,0.0,18.05
155.246,-0.00219,0.05,100.0,0.0,18.05
155.393,-0.00219,0.05,100.0,0.0,18.08
155.541,-0.00219,0.056,100.0,0.0,18.08
155.689,-0.00219,0.059,100.0,0.0,18.07
155.838,-0.00219,0.063,100.0,0.0,18.07
155.985,-0.00219,0.063,100.0,0.0,18.13
156.133,-0.00219,0.069,100.0,0.0,18.13
156.281,-0.00219,0.072,100.0,0.0,18.08
156.43,-0.00401,0.075,100.0,0.0,18.08
156.578,-0.00401,0.075,100.0,0.0,18.1
156.727,-0.00401,0.078,100.0,0.0,18.1
156.874,-0.00401,0.084,100.0,0.0,18.09
157.023,-0.00401,0.084,100.0,0.0,18.09
157.17,-0.00401,0.088,100.0,0.0,18.11
157.317,-0.00401,0.091,100.0,0.0,18.11
157.466,-0.00401,0.097,100.0,0.0,18.17
157.614,-0.00401,0.097,100.0,0.0,18.17
157.762,-0.00401,0.1,100.0,0.0,18.18
157.909,-0.00401,0.103,100.0,0.0,18.18
158.058,-0.00401,0.103,100.0,0.0,18.15
158.205,-0.00123,0.106,100.0,0.0,18.15
158.354,-0.00123,0.112,100.0,0.0,18.13
158.502,-0.00198,0.116,100.0,0.0,18.13
158.651,-0.00198,0.116,100.0,0.0,18.15
158.798,-0.00198,0.119,100.0,0.0,18.15
158.946,0.00357,0.125,100.0,0.0,18.2
159.093,0.00357,0.128,100.0,0.0,18.2
159.241,0.00357,0.128,100.0,0.0,18.21
159.387,0.00357,0.131,100.0,0.0,18.21
159.534,0.00357,0.134,100.0,0.0,18.21
159.681,0.00357,0.134,100.0,0.0,18.21
159.827,0.00357,0.141,100.0,0.0,18.22
159.975,0.00357,0.144,100.0,0.0,18.22
160.121,0.00357,0.147,100.0,0.0,18.22
160.269,0.00886,0.147,100.0,0.0,18.26
160.415,0.00886,0.153,100.0,0.0,18.26
160.563,0.00886,0.156,100.0,0.0,18.26
160.71,0.00886,0.156,100.0,0.0,18.26
160.856,0.00886,0.159,100.0,0.0,18.22
161.003,0.00886,0.162,100.0,0.0,18.22
161.15,0.00886,0.169,100.0,0.0,18.19
161.298,0.00886,0.169,100.0,0.0,18.19
161.444,0.00886,0.172,100.0,0.0,18.16
161.591,0.00886,0.175,100.0,0.0,18.16
161.738,0.00886,0.175,100.0,0.0,18.14
161.885,0.00886,0.181,100.0,0.0,18.14
162.032,0.17861,0.184,100.0,0.0,18.12
162.178,0.17861,0.187,100.0,0.0,18.12
162.326,0.17861,0.187,100.0,0.0,18.14
162.472,0.24195,0.191,100.0,0.0,18.14
162.62,0.24195,0.197,100.0,0.0,18.19
162.767,0.26416,0.197,100.0,0.0,18.19
162.914,0.26416,0.2,100.0,0.0,18.2
163.061,0.26416,0.203,100.0,0.0,18.2
163.208,0.26416,0.209,100.0,0.0,18.21
163.355,0.26416,0.209,100.0,0.0,18.21
163.501,0.26416,0.213,100.0,0.0,18.14
163.649,0.26416,0.216,100.0,0.0,18.14
163.795,0.26416,0.219,100.0,0.0,18.16
163.951,0.26416,0.219,100.0,0.0,18.16
164.097,0.31217,0.225,100.0,0.0,18.17
164.245,0.31217,0.228,100.0,0.0,18.17
164.391,0.31217,0.228,100.0,0.0,18.14
164.538,0.31217,0.231,100.0,0.0,18.14
164.685,0.31217,0.237,100.0,0.0,18.12
164.833,0.31217,0.241,100.0,0.0,18.12
164.979,0.31217,0.241,100.0,0.0,18.14
165.125,0.31217,0.244,100.0,0.0,18.14
165.273,0.31217,0.247,100.0,0.0,18.16
165.419,0.31217,0.247,100.0,0.0,18.16
165.567,0.31217,0.253,100.0,0.0,18.13
165.713,0.31217,0.256,100.0,0.0,18.13
165.861,0.37322,0.259,100.0,0.0,18.19
166.008,0.37322,0.259,100.0,0.0,18.19
166.155,0.37322,0.266,100.0,0.0,18.2
166.301,0.38383,0.269,100.0,0.0,18.2
166.449,0.38383,0.269,100.0,0.0,18.2
166.595,0.38383,0.272,100.0,0.0,18.24
166.742,0.39771,0.275,100.0,0.0,18.24
166.89,0.39771,0.281,100.0,0.0,18.17
167.036,0.39955,0.281,100.0,0.0,18.17
167.184,0.39955,0.284,100.0,0.0,18.18
167.33,0.39955,0.287,100.0,0.0,18.18
167.478,0.39598,0.287,100.0,0.0,18.19
167.625,0.39598,0.294,100.0,0.0,18.19
167.772,0.39598,0.297,100.0,0.0,18.2
167.919,0.39598,0.3,100.0,0.0,18.2
168.065,0.39598,0.3,100.0,0.0,18.21
168.212,0.39598,0.303,100.0,0.0,18.21
168.359,0.39925,0.309,100.0,0.0,18.21
168.507,0.39925,0.312,100.0,0.0,18.21
168.661,0.39925,0.312,100.0,0.0,18.22
168.808,0.39925,0.316,100.0,0.0,18.22
168.954,0.39925,0.322,100.0,0.0,18.19
169.102,0.39925,0.322,100.0,0.0,18.19
169.248,0.39925,0.325,100.0,0.0,18.23
169.396,0.39925,0.328,100.0,0.0,18.23
169.542,0.39925,0.331,100.0,0.0,18.2
169.689,0.39925,0.331,100.0,0.0,18.2
169.836,0.39925,0.338,100.0,0.0,18.24
169.982,0.39925,0.341,100.0,0.0,18.24
170.13,0.36369,0.341,100.0,0.0,18.24
170.276,0.36369,0.344,100.0,0.0,18.24
170.424,0.36369,0.35,100.0,0.0,18.17
170.571,0.35471,0.353,100.0,0.0,18.17
170.719,0.35471,0.353,100.0,0.0,18.11
170.865,0.35471,0.356,100.0,0.0,18.11
171.011,0.3451,0.359,100.0,0.0,18.09
171.159,0.3451,0.359,100.0,0.0,18.09
171.305,0.33909,0.366,100.0,0.0,18.08
171.453,0.33909,0.369,100.0,0.0,18.08
171.6,0.33909,0.372,100.0,0.0,18.03
171.747,0.33909,0.372,100.0,0.0,18.03
171.893,0.33909,0.378,100.0,0.0,18.06
172.041,0.33909,0.381,100.0,0.0,18.06
172.188,0.33909,0.381,100.0,0.0,18.05
172.334,0.33909,0.384,100.0,0.0,18.05
172.481,0.33909,0.387,100.0,0.0,18.08
172.628,0.31124,0.394,100.0,0.0,18.08
172.776,0.31124,0.394,100.0,0.0,18.08
172.922,0.31124,0.397,100.0,0.0,18.07
173.07,0.31124,0.4,100.0,0.0,18.07
173.216,0.31124,0.406,100.0,0.0,18.1
173.371,0.31124,0.406,100.0,0.0,18.1
173.518,0.31124,0.409,100.0,0.0,18.08
173.665,0.31124,0.413,100.0,0.0,18.08
173.812,0.31124,0.413,100.0,0.0,18.11
173.959,0.31124,0.416,100.0,0.0,18.11
174.105,0.31124,0.422,100.0,0.0,18.13
174.252,0.31124,0.425,100.0,0.0,18.13
174.4,0.21223,0.425,99.0,0.0,18.11
