t,F,D,P1,P2,T
173.34,0.00284,-0.006,100.0,0.0,17.98
173.489,0.00284,-0.003,100.0,0.0,17.98
173.637,0.00213,0.0,100.0,0.0,17.91
173.797,0.00213,0.0,100.0,0.0,17.91
173.943,0.00213,0.006,100.0,0.0,17.92
174.091,0.00213,0.009,100.0,0.0,17.92
174.237,0.00213,0.009,100.0,0.0,17.97
174.383,0.00213,0.012,100.0,0.0,17.97
174.531,0.00275,0.016,100.0,0.0,17.98
174.678,0.00275,0.022,100.0,0.0,17.98
174.825,0.00275,0.022,100.0,0.0,18.02
174.972,-0.00031,0.025,100.0,0.0,18.02
175.12,-0.00031,0.028,100.0,0.0,18.01
175.268,-0.00031,0.028,100.0,0.0,18.01
175.416,-0.00031,0.034,100.0,0.0,18.01
175.564,-0.00031,0.038,100.0,0.0,18.01
175.712,-0.00031,0.041,100.0,0.0,18.05
175.86,-0.00112,0.041,100.0,0.0,18.05
176.009,-0.00112,0.044,100.0,0.0,18.08
176.156,-0.00112,0.05,100.0,0.0,18.08
176.305,-0.00112,0.053,100.0,0.0,18.14
176.46,-0.00112,0.053,100.0,0.0,18.14
176.608,-0.00112,0.056,100.0,0.0,18.08
176.756,0.00085,0.063,100.0,0.0,18.08
176.904,0.00085,0.063,100.0,0.0,18.03
177.05,0.00085,0.066,100.0,0.0,18.03
177.196,0.00085,0.069,100.0,0.0,18.07
177.344,0.00085,0.072,100.0,0.0,18.07
177.491,0.00085,0.072,100.0,0.0,18.06
177.638,0.00085,0.078,100.0,0.0,18.06
177.784,0.00085,0.081,100.0,0.0,18.08
177.932,-0.00427,0.081,100.0,0.0,18.08
178.079,-0.00427,0.084,100.0,0.0,18.08
178.228,-0.00427,0.091,100.0,0.0,18.15
178.376,-0.00427,0.094,100.0,0.0,18.15
178.524,-0.00427,0.094,100.0,0.0,18.12
178.671,-0.00427,0.097,100.0,0.0,18.12
178.819,0.00111,0.1,100.0,0.0,18.07
178.967,0.00111,0.106,100.0,0.0,18.07
179.121,0.00111,0.106,100.0,0.0,18.1
179.268,0.00195,0.109,100.0,0.0,18.1
179.415,0.00195,0.112,100.0,0.0,18.04
179.562,0.00195,0.112,100.0,0.0,18.04
179.708,0.00195,0.119,100.0,0.0,17.96
179.856,0.00195,0.122,100.0,0.0,17.96
180.002,0.00195,0.125,100.0,0.0,18.01
180.15,-0.00235,0.125,100.0,0.0,18.01
180.297,-0.00235,0.128,100.0,0.0,18.08
180.446,-0.00235,0.134,100.0,0.0,18.08
180.594,-0.00235,0.134,100.0,0.0,18.14
180.741,-0.00235,0.137,100.0,0.0,18.14
180.889,-0.00235,0.141,100.0,0.0,18.08
181.037,-0.00358,0.147,100.0,0.0,18.08
181.186,-0.00358,0.147,100.0,0.0,18.11
181.333,-0.00358,0.15,100.0,0.0,18.11
181.482,-0.00358,0.153,100.0,0.0,18.05
181.629,-0.00358,0.156,100.0,0.0,18.05
181.784,-0.00358,0.156,100.0,0.0,18.12
181.932,-0.00358,0.162,100.0,0.0,18.12
182.08,-0.00358,0.166,100.0,0.0,18.14
182.228,0.00281,0.166,100.0,0.0,18.14
182.375,0.00281,0.169,100.0,0.0,18.16
182.522,0.00281,0.175,100.0,0.0,18.16
182.669,0.00281,0.178,100.0,0.0,18.13
182.816,0.00281,0.178,100.0,0.0,18.13
182.963,0.00281,0.181,100.0,0.0,18.08
183.11,-0.00428,0.184,100.0,0.0,18.08
183.258,-0.00428,0.184,100.0,0.0,17.99
183.406,-0.00428,0.191,100.0,0.0,17.99
183.553,0.00055,0.194,100.0,0.0,18.07
183.701,0.00055,0.197,100.0,0.0,18.07
183.848,0.00055,0.197,100.0,0.0,17.98
183.995,0.00055,0.203,100.0,0.0,17.98
184.142,0.00055,0.206,100.0,0.0,17.98
184.289,0.00055,0.209,100.0,0.0,17.98
184.445,-0.00481,0.209,100.0,0.0,18.02
184.593,-0.00481,0.213,100.0,0.0,18.02
184.741,-0.00481,0.219,100.0,0.0,18.1
184.89,-0.00481,0.219,100.0,0.0,18.1
185.037,-0.00481,0.222,100.0,0.0,18.12
185.185,0.00292,0.225,100.0,0.0,18.12
185.332,0.00292,0.231,100.0,0.0,18.18
185.48,0.00292,0.231,100.0,0.0,18.18
185.626,0.00292,0.234,100.0,0.0,18.07
185.773,0.00292,0.237,100.0,0.0,18.07
185.92,0.00292,0.237,100.0,0.0,18.03
186.066,0.00292,0.241,100.0,0.0,18.03
186.214,0.00292,0.247,100.0,0.0,18.03
