t,F,D,P1,P2,T
3790.711,-0.0086,1.728,100.0,0.0,0.0
3790.862,-0.0086,1.728,100.0,0.0,0.0
3791.009,-0.0086,1.734,100.0,0.0,0.0
3791.158,-0.0086,1.737,100.0,0.0,0.0
3791.305,-0.00946,1.741,100.0,0.0,0.0
3791.456,-0.00946,1.741,100.0,0.0,0.0
3791.603,-0.00946,1.744,100.0,0.0,0.0
3791.751,-0.01476,1.75,100.0,0.0,0.0
3791.899,-0.01476,1.75,100.0,0.0,0.0
3792.046,-0.01476,1.753,100.0,0.0,0.0
3792.195,-0.01476,1.756,100.0,0.0,0.0
3792.342,-0.01476,1.763,100.0,0.0,0.0
3792.491,-0.01476,1.763,100.0,0.0,0.0
3792.638,-0.01476,1.766,100.0,0.0,0.0
3792.786,-0.01476,1.769,100.0,0.0,0.0
3792.934,-0.01225,1.769,100.0,0.0,0.0
3793.082,-0.01225,1.772,100.0,0.0,0.0
3793.23,-0.01225,1.778,100.0,0.0,0.0
3793.379,-0.01225,1.781,100.0,0.0,0.0
3793.526,-0.01225,1.781,100.0,0.0,0.0
3793.674,-0.01225,1.784,100.0,0.0,0.0
3793.822,-0.01225,1.791,100.0,0.0,0.0
3793.97,-0.01225,1.794,100.0,0.0,0.0
3794.118,-0.01225,1.794,100.0,0.0,0.0
3794.265,-0.01225,1.797,100.0,0.0,0.0
3794.414,-0.01225,1.8,100.0,0.0,0.0
3794.561,-0.01225,1.8,100.0,0.0,0.0
3794.71,-0.01225,1.806,100.0,0.0,0.0
3794.857,-0.01225,1.809,100.0,0.0,0.0
3795.006,-0.01225,1.812,100.0,0.0,0.0
3795.153,-0.00628,1.812,100.0,0.0,0.0
3795.302,-0.00628,1.819,100.0,0.0,0.0
3795.449,-0.00628,1.822,100.0,0.0,0.0
3795.598,-0.01895,1.822,100.0,0.0,0.0
3795.745,-0.01895,1.825,100.0,0.0,0.0
3795.894,-0.01895,1.828,100.0,0.0,0.0
3796.041,-0.01895,1.834,100.0,0.0,0.0
3796.19,-0.01895,1.834,100.0,0.0,0.0
3796.337,-0.01895,1.837,100.0,0.0,0.0
3796.484,-0.01895,1.841,100.0,0.0,0.0
3796.633,-0.01895,1.847,100.0,0.0,0.0
3796.781,-0.01805,1.847,100.0,0.0,0.0
3796.929,-0.01805,1.85,100.0,0.0,0.0
3797.077,-0.01805,1.853,100.0,0.0,0.0
3797.225,-0.01805,1.853,100.0,0.0,0.0
3797.372,-0.01805,1.856,100.0,0.0,0.0
3797.521,-0.01805,1.862,100.0,0.0,0.0
3797.668,-0.01805,1.866,100.0,0.0,0.0
3797.817,-0.01805,1.866,100.0,0.0,0.0
3797.964,-0.01805,1.869,100.0,0.0,0.0
3798.112,-0.01805,1.875,100.0,0.0,0.0
3798.26,-0.01805,1.875,100.0,0.0,0.0
3798.408,-0.01805,1.878,100.0,0.0,0.0
3798.556,-0.01805,1.881,100.0,0.0,0.0
3798.703,-0.01805,1.884,100.0,0.0,0.0
3798.852,-0.01805,1.884,100.0,0.0,0.0
3798.999,-0.00876,1.891,100.0,0.0,0.0
3799.148,-0.00876,1.894,100.0,0.0,0.0
3799.295,-0.00876,1.897,100.0,0.0,0.0
