t,F,D,P1,P2,T
118.014,-0.00318,-0.016,100.0,0.0,18.51
118.163,0.00123,-0.016,100.0,0.0,18.51
118.318,0.00123,-0.012,100.0,0.0,18.51
118.466,0.00123,-0.009,100.0,0.0,18.51
118.617,-0.00474,-0.009,100.0,0.0,18.51
118.767,-0.00474,-0.003,100.0,0.0,18.54
118.915,-0.00474,0.0,100.0,0.0,18.54
119.064,-0.00474,0.0,100.0,0.0,18.57
119.211,-0.00474,0.003,100.0,0.0,18.57
119.359,-0.00474,0.006,100.0,0.0,18.6
119.507,-0.00474,0.012,100.0,0.0,18.6
119.656,-0.00474,0.012,100.0,0.0,18.59
119.803,-0.00474,0.016,100.0,0.0,18.59
119.951,-0.00474,0.019,100.0,0.0,18.57
120.099,-0.00474,0.025,100.0,0.0,18.57
120.255,-0.00474,0.025,100.0,0.0,18.6
120.402,-0.00474,0.028,100.0,0.0,18.6
120.551,-0.00474,0.031,100.0,0.0,18.55
120.699,-0.00474,0.031,100.0,0.0,18.55
120.847,-0.00056,0.034,100.0,0.0,18.62
120.995,-0.00056,0.041,100.0,0.0,18.62
121.143,-0.00056,0.044,100.0,0.0,18.6
121.291,-0.00056,0.044,100.0,0.0,18.6
121.439,-0.00056,0.047,100.0,0.0,18.62
121.587,-0.00056,0.053,100.0,0.0,18.62
121.735,-0.00056,0.053,100.0,0.0,18.57
121.882,-0.00056,0.056,100.0,0.0,18.57
122.03,-0.00408,0.059,100.0,0.0,18.52
122.179,-0.00408,0.063,100.0,0.0,18.52
122.327,-0.00408,0.063,100.0,0.0,18.59
122.475,-0.00498,0.069,100.0,0.0,18.59
122.623,-0.00498,0.072,100.0,0.0,18.65
122.771,-0.00498,0.075,100.0,0.0,18.65
122.919,-0.00498,0.075,100.0,0.0,18.67
123.067,-0.00498,0.081,100.0,0.0,18.67
123.215,-0.00498,0.084,100.0,0.0,18.68
123.363,-0.00498,0.084,100.0,0.0,18.68
123.51,-0.00498,0.088,100.0,0.0,18.65
123.659,-0.00498,0.091,100.0,0.0,18.65
123.807,-0.00498,0.097,100.0,0.0,18.67
123.955,-0.00498,0.097,100.0,0.0,18.67
124.102,-0.00498,0.1,100.0,0.0,18.64
124.25,-0.00498,0.103,100.0,0.0,18.64
124.398,-0.00498,0.109,100.0,0.0,18.62
124.557,-0.00498,0.109,100.0,0.0,18.62
124.704,-0.00321,0.112,100.0,0.0,18.64
124.853,-0.00321,0.116,100.0,0.0,18.64
125.001,-0.00321,0.116,100.0,0.0,18.62
125.149,-0.00321,0.119,100.0,0.0,18.62
125.296,-0.00321,0.125,100.0,0.0,18.56
125.444,-0.00321,0.128,100.0,0.0,18.56
125.593,-0.00321,0.128,100.0,0.0,18.63
125.74,-0.00321,0.131,100.0,0.0,18.63
125.888,0.00069,0.137,100.0,0.0,18.61
126.035,0.00069,0.137,100.0,0.0,18.61
126.182,0.00069,0.141,100.0,0.0,18.63
126.329,-0.00484,0.144,100.0,0.0,18.63
126.478,-0.00484,0.147,100.0,0.0,18.61
126.626,-0.00484,0.147,100.0,0.0,18.61
126.774,-0.00484,0.153,100.0,0.0,18.63
126.921,-0.00484,0.156,100.0,0.0,18.63
127.07,-0.00484,0.159,100.0,0.0,18.69
127.219,-0.00484,0.159,100.0,0.0,18.69
127.367,-0.00484,0.166,100.0,0.0,18.7
127.515,-0.00484,0.169,100.0,0.0,18.7
127.662,-0.00484,0.169,100.0,0.0,18.74
127.81,-0.00484,0.172,100.0,0.0,18.74
127.958,-0.00484,0.175,100.0,0.0,18.74
128.107,-0.00484,0.181,100.0,0.0,18.67
128.254,-0.00484,0.181,100.0,0.0,18.67
128.402,-0.00484,0.184,100.0,0.0,18.68
128.55,0.00117,0.187,100.0,0.0,18.68
128.698,0.00117,0.187,100.0,0.0,18.69
128.844,0.00117,0.194,100.0,0.0,18.69
128.992,0.00117,0.197,100.0,0.0,18.7
129.138,0.00117,0.2,100.0,0.0,18.7
129.285,0.00117,0.2,100.0,0.0,18.67
129.432,0.00117,0.203,100.0,0.0,18.67
129.578,0.00117,0.209,100.0,0.0,18.61
129.726,0.00319,0.213,100.0,0.0,18.61
129.88,0.00319,0.213,100.0,0.0,18.55
130.028,0.00319,0.216,100.0,0.0,18.55
130.174,-0.00141,0.222,100.0,0.0,18.58
130.323,-0.00141,0.222,100.0,0.0,18.58
130.47,-0.00141,0.225,100.0,0.0,18.65
130.619,-0.00141,0.228,100.0,0.0,18.65
130.766,-0.00141,0.231,100.0,0.0,18.62
130.915,-0.00141,0.231,100.0,0.0,18.62
131.062,-0.00141,0.237,100.0,0.0,18.53
131.211,-0.00141,0.241,100.0,0.0,18.53
131.358,-0.00141,0.241,100.0,0.0,18.6
131.506,-0.00141,0.244,100.0,0.0,18.6
131.654,-0.00141,0.25,100.0,0.0,18.59
131.802,-0.00141,0.253,100.0,0.0,18.59
131.95,-0.00141,0.253,100.0,0.0,18.65
132.097,-0.00141,0.256,100.0,0.0,18.65
132.246,-0.00141,0.259,100.0,0.0,18.63
132.394,-0.00197,0.266,100.0,0.0,18.63
132.544,-0.00197,0.266,100.0,0.0,18.64
132.691,-0.00197,0.269,100.0,0.0,18.64
132.84,-0.00197,0.272,100.0,0.0,18.7
132.988,-0.00197,0.272,100.0,0.0,18.7
133.136,-0.00197,0.278,100.0,0.0,18.71
133.283,-0.00197,0.281,100.0,0.0,18.71
133.432,-0.00197,0.284,100.0,0.0,18.67
133.58,-0.00384,0.284,100.0,0.0,18.67
133.728,-0.00384,0.287,100.0,0.0,18.69
133.876,-0.00384,0.294,100.0,0.0,18.69
134.024,-0.00041,0.294,100.0,0.0,18.7
134.172,-0.00041,0.297,100.0,0.0,18.7
134.319,-0.00041,0.3,100.0,0.0,18.7
134.468,-0.00041,0.306,100.0,0.0,18.7
134.616,-0.00041,0.306,100.0,0.0,18.75
134.764,-0.00041,0.309,100.0,0.0,18.75
134.911,-0.00041,0.312,100.0,0.0,18.79
135.06,-0.00041,0.316,100.0,0.0,18.79
135.208,-0.00041,0.316,100.0,0.0,18.82
135.356,-0.00041,0.322,100.0,0.0,18.82
135.503,-0.00041,0.325,100.0,0.0,18.77
135.652,-0.00041,0.325,100.0,0.0,18.77
135.799,-0.00041,0.328,100.0,0.0,18.73
135.948,-0.00041,0.334,100.0,0.0,18.73
136.095,-0.00111,0.338,100.0,0.0,18.73
136.245,-0.00111,0.338,100.0,0.0,18.77
136.392,-0.00111,0.341,100.0,0.0,18.77
136.541,-0.00111,0.344,100.0,0.0,18.65
136.689,-0.00111,0.35,100.0,0.0,18.65
136.846,-0.00111,0.35,100.0,0.0,18.52
136.993,-0.00111,0.353,100.0,0.0,18.52
137.141,-0.00111,0.356,100.0,0.0,18.55
137.289,-0.00111,0.356,100.0,0.0,18.55
137.437,-0.00381,0.363,100.0,0.0,18.51
137.585,-0.00381,0.366,100.0,0.0,18.51
137.733,-0.00381,0.369,100.0,0.0,18.54
137.881,0.00072,0.369,100.0,0.0,18.54
138.028,0.00072,0.372,100.0,0.0,18.61
138.175,0.00072,0.378,100.0,0.0,18.61
138.322,0.00072,0.378,100.0,0.0,18.6
138.469,0.00072,0.381,100.0,0.0,18.6
138.616,0.00072,0.384,100.0,0.0,18.58
138.763,0.00072,0.391,100.0,0.0,18.58
138.91,0.00072,0.391,100.0,0.0,18.61
139.057,0.00072,0.394,100.0,0.0,18.61
139.203,0.00072,0.397,100.0,0.0,18.63
139.35,0.00072,0.4,100.0,0.0,18.63
139.507,0.00072,0.4,100.0,0.0,18.68
139.653,0.00072,0.406,100.0,0.0,18.68
139.801,0.00072,0.409,100.0,0.0,18.69
139.947,0.00072,0.409,100.0,0.0,18.69
140.094,0.00072,0.413,100.0,0.0,18.7
140.241,0.00072,0.419,100.0,0.0,18.7
140.389,0.00072,0.422,100.0,0.0,18.71
140.535,0.00072,0.422,100.0,0.0,18.71
140.682,0.00072,0.425,100.0,0.0,18.72
140.829,0.00351,0.428,100.0,0.0,18.72
140.977,0.00351,0.428,100.0,0.0,18.65
141.123,0.00351,0.434,100.0,0.0,18.65
141.27,-0.00035,0.438,100.0,0.0,18.62
141.418,-0.00035,0.441,100.0,0.0,18.62
141.566,-0.00035,0.441,100.0,0.0,18.64
141.714,-0.00035,0.447,100.0,0.0,18.64
141.862,-0.00035,0.45,100.0,0.0,18.66
142.01,-0.00035,0.45,100.0,0.0,18.66
142.158,-0.00035,0.453,100.0,0.0,18.64
142.306,-0.00035,0.456,100.0,0.0,18.64
142.454,-0.00035,0.463,100.0,0.0,18.69
142.602,-0.00035,0.463,100.0,0.0,18.69
142.75,-0.00035,0.466,100.0,0.0,18.66
142.898,-0.00035,0.469,100.0,0.0,18.66
143.046,-0.00035,0.475,100.0,0.0,18.71
