t,F,D,P1,P2,T
1067.431,-0.30594,11.644,100.0,0.0,19.43
1067.581,-0.30626,11.653,100.0,0.0,19.44
1067.731,-0.30626,11.75,100.0,0.0,19.44
1067.882,-0.30626,11.847,100.0,0.0,19.52
1068.031,-0.30626,11.847,100.0,0.0,19.52
1068.182,-0.30626,11.944,100.0,0.0,19.52
1068.331,-0.30626,12.041,100.0,0.0,19.52
1068.482,-0.31597,12.137,100.0,0.0,19.59
1068.644,-0.31597,12.137,100.0,0.0,19.59
1068.793,-0.31957,12.234,100.0,0.0,19.65
1068.944,-0.31957,12.331,100.0,0.0,19.65
1069.094,-0.31957,12.331,100.0,0.0,19.67
1069.244,-0.31957,12.428,100.0,0.0,19.67
1069.394,-0.31957,12.525,100.0,0.0,19.72
1069.544,-0.31957,12.622,100.0,0.0,19.72
1069.694,-0.31957,12.622,100.0,0.0,19.8
1069.844,-0.31957,12.719,100.0,0.0,19.8
1069.994,-0.31957,12.816,100.0,0.0,19.83
1070.144,-0.32105,12.913,100.0,0.0,19.83
1070.294,-0.32105,12.913,100.0,0.0,19.82
1070.445,-0.32105,13.009,100.0,0.0,19.82
1070.594,-0.32074,13.106,100.0,0.0,19.92
1070.745,-0.32074,13.203,100.0,0.0,19.92
1070.902,-0.32074,13.203,100.0,0.0,19.97
1071.052,-0.32064,13.3,100.0,0.0,19.97
1071.203,-0.32064,13.397,100.0,0.0,20.01
1071.352,-0.32099,13.397,100.0,0.0,20.01
1071.503,-0.32099,13.494,100.0,0.0,20.01
1071.653,-0.32099,13.591,100.0,0.0,20.01
1071.804,-0.31876,13.687,100.0,0.0,20.01
1071.954,-0.31876,13.687,100.0,0.0,20.01
1072.104,-0.31876,13.784,100.0,0.0,20.04
1072.254,-0.31876,13.881,100.0,0.0,20.04
1072.404,-0.31876,13.978,100.0,0.0,20.0
1072.554,-0.31876,13.978,100.0,0.0,20.0
